name,ring,quadrant,isNew,description	
Design Thinking,Anwenden,Methoden,FALSE,"<p> Design Thinking (=erfinderisches Denken) ist eine Methode zur kreativen Bearbeitung von komplexen Problemen und Aufgaben. Im Mittelpunkt dieser Methode steht die Endkundin bzw. der Endkunde, der in Test- und Feedbackrunden einbezogen wird. Die Methode besteht aus sechs klar definierten Prozessschritten. Die Abfolge dieser Schritte ist jedoch nicht streng linear. Ideen und LÃ¶sungen werden iterativ entwickelt, das heiÃŸt man kann und soll jederzeit ein oder mehrere Schritte vor und zurÃ¼ck gehen bis das gewÃ¼nschte Ergebnis vorliegt. Insbesondere soll die gefundene LÃ¶sung die BedÃ¼rfnisse und Motivationen der spÃ¤teren Anwender- und Nutzergruppe berÃ¼cksichtigen und einbeziehen. Im Kern besteht der Design Thinking Prozess aus zwei BlÃ¶cken: Die Analyse des Problems und das Auffinden einer innovativen LÃ¶sung. Jeder der beiden BlÃ¶cke ist in drei Arbeitsschritte unterteilt. . <a href=""https://fhhportal.ondataport.de/websites/1009/pm-themen/agilit%C3%A4t/design-thinking""> Hier </a> gibt es weitere Informationen. </p>"	
Microsoft Teams,Ausprobieren,Tools,WAHR,"<p>Microsoft Teams (abgekÃ¼rzt MS Teams oder nur Teams) ist eine Plattform der Fa. Microsoft, die Chat, Online-Besprechungen, Notizen und AnhÃ¤nge kombiniert und die digitale Zusammenarbeit fÃ¶rdert. <a href=""https://fhhportal.ondataport.de/websites/msteams/_layouts/15/start.aspx#/SitePages/Homepage.aspx""> Hier </a> gibt es weitere Informationen. </p>"	
UiPath,Ausprobieren,Plattformen,FALSCH,"<p>UiPath ist einer der fÃ¼hrenden Anbieter fÃ¼r Robotic Process Automation (RPA), der eine komplette Software Plattform anbietet, die Organisationen bei einer effizienten Automatisierung von (GeschÃ¤fts)Prozessen hilft. Im Bereich der Ã–ffentlichen Verwaltung und in der FHH wird UiPath bereits eingesetzt. <a href=""https://www.uipath.com/solutions/industry/public-sector-automation"">Hier</a>  gibt es mehr Informationen zu UiPath und  <a href=""https://fhhportal.ondataport.de/websites/digitaleInno_109/_layouts/15/start.aspx#/SitePages/Innovative%20Technologien%20%E2%80%9Ein%20Aktion%E2%80%9C%20%E2%86%92%20Anwendungsf%C3%A4lle.aspx"">Hier</a> geht es zu den praktischen AnwendungsfÃ¤llen. </p>"	
Container-Technologie,Ausprobieren,Technologien,FALSCH,"<p> Mit der fortschreitenden Digitalisierung wachsen die Anforderungen an die IT-Infrastruktur. Anwendungen mÃ¼ssen heute Skalierbarkeit, HochverfÃ¼gbarkeit und PortabilitÃ¤t bieten. Hierbei helfen Container-Technologien wie Docker und Kubernetes, die auÃŸerdem Anwendungen unabhÃ¤ngiger von der Umgebung machen, in der sie ausgefÃ¼hrt werden. Softwarehersteller wenden sich zunehmend von der klassischen Bereitstellung ihrer Anwendungen ab um stattdessen auf Kubernetes als automatisierte Abstraktionsschicht zu setzen und fokussieren sich damit auf die Kapselung sÃ¤mtlicher AbhÃ¤ngigkeiten der Anwendung.  <a href=""https://fhhportal.ondataport.de/websites/diLab_571/Interne%20Ablage/Dataport_Vortrag_Container_HH_ITD-P_20210630.pdf?Web=1"">Hier</a> gib es einen Vortrag zum Thema Container-Technologie von Dataport. </p>"	
Robotic Process Automation (RPA),Ausprobieren,Technologien,WAHR,"<p> Als Robotic Process Automation (RPA) werden (Software-)Roboter bezeichnet, die in der Lage sind, Prozesse automatisiert durchzufÃ¼hren. HierfÃ¼r greifen RPA-Roboter auf die BenutzeroberflÃ¤che einer Anwendung zu und interagieren mit dieser Ã¼ber simulierte TastendrÃ¼cke und Mausklicks. <a href=""https://fhhportal.ondataport.de/websites/digitaleInno_109/Technologieradar%20Inhalte/Robotic%20Process%20Automation.aspx""> Hier </a> gibt es weitere Informationen. </p>"	
dDatabox,Ausprobieren,Tools,FALSCH,"<p> dDatabox ist eine <a href=""https://www.datenschutzzentrum.de/guetesiegel/hersteller/hinweise/"">ULD</a>-zertifizierte Business-LÃ¶sung von Dataport zur einfachen Speicherung, Synchronisation, Verteilung und Verwaltung von Daten . <a href=""https://www.dataport.de/was-wir-bewegen/portfolio/ddatabox/""> Details der Dataport-LÃ¶sung</a> </p>"	
dOnlineZusammenarbeit,Ausprobieren,Tools,WAHR,"<p>dOnlineZusammenarbeit ist ein Videokonferenzsystem, das von Dataport zur VerfÃ¼gung gestellt wird. Es ist Ã¼ber die Internet-Adresse <a href=""https://video.openws.de""> https://video.openws.de </a> zu erreichen.<y/p>"	
Autonome Verwaltungsverfahren,Ausprobieren,Methoden,WAHR,"<p>Autonome Verwaltungsverfahren ermÃ¶glichen, dass BÃ¼rger_innen beispielsweise ihren Bewohnerparkausweis ohne menschliches Zutun auf BehÃ¶rdenseite ausgestellt bekommen. Das System Ã¼bernimmt die Verarbeitung der Antragstellerdaten, prÃ¼ft auf VollstÃ¤ndigkeit, erkennt fehlende Unterlagen und fordert diese beim Antragsteller nach, fÃ¼hrt eigenstÃ¤ndig die Kfz- und Wohnortsabfrage durch (siehe No-Government) und entscheidet auf dieser Basis Ã¼ber das Ausstellen des Bewohnerparkausweises. Auch ein proaktives Angebot an berechtigte Personen wird so mÃ¶glich.	
  FÃ¼r solche einfachen Verfahren reichen deterministische Systeme: Diese treffen Entscheidungen durch die ausschlieÃŸliche Anwendung von expliziten, widerspruchsfreien Regeln. Die Entscheidungen sind so einfach nachvollziehbar, denn die implementierten Regeln ermÃ¶glichen eine ErklÃ¤rung der Entscheidungsfindung.</p>"	
KÃ¼nstliche Intelligenz (KI),Ausprobieren,Technologien,WAHR,"<p> KÃ¼nstliche Intelligenz (KI	 englisch: artificial intelligence (AI)) ist ein Bereich der Informatik. Es gibt unterschiedlichste Definitionen fÃ¼r KI, da es verschiedene Ansichten darÃ¼ber gibt, wann ein System intelligent ist. Ein zentraler Aspekt ist die FÃ¤higkeit von Systemen, Muster in groÃŸen Datensammlungen zu erkennen. KI umfasst viele Themen, u. a. maschinelles Lernen oder Sprachverarbeitung. Viele automatisierte VorgÃ¤nge in der Verwaltung basieren auf KI. Wenn zum Beispiel Aktenzeichen erkannt werden sollen, wird automatische Zeichenerkennung benutzt. Oder das Beantworten von BÃ¼rgerfragen via Chatbots ist ein Beispiel fÃ¼r Sprachverarbeitung. Beide Beispiele, wie viele weitere auch, nutzen Methoden des maschinellen Lernens. Mehr zum Thema KI finden Sie <a href=""https://fhhportal.ondataport.de/websites/diLab_571/SitePages/KI.aspx"">  hier </a>.</p>"
